pid;sid;start;end;phase;phase_name;subjective_load;rebus_score
7;0;0;246430;Instructions;Instructions;nan;nan
7;1;251430;412240;PSS14;PSS14;nan;nan
7;2;417240;614320;Relax-0;Relax;nan;nan
7;3;619320;735800;STAI-Y2-0;STAI-Y2;nan;nan
7;4;740800;846540;W0;Water;3.0;nan
7;5;853140;862960;R0_0;Rebus;2.0;1.0
7;6;867260;890950;R0_1;Rebus;2.0;1.0
7;7;893340;903680;R0;RebusEvaluation;2.0;1.0
7;8;910660;1013010;W1;Water;4.0;nan
7;9;1049180;1062320;R1_0;Rebus;4.0;0.67
7;10;1065960;1075920;R1_1;Rebus;4.0;0.67
7;11;1081390;1094600;R1_2;Rebus;4.0;0.67
7;12;1095010;1117010;R1;RebusEvaluation;4.0;0.67
7;13;1119190;1180680;W2;Water;3.0;nan
7;14;1204560;1214100;R2_0;Rebus;5.0;0.5
7;15;1217850;1225650;R2_1;Rebus;5.0;0.5
7;16;1228780;1240340;R2_2;Rebus;5.0;0.5
7;17;1246180;1253210;R2_3;Rebus;5.0;0.5
7;18;1255340;1281680;R2;RebusEvaluation;5.0;0.5
7;19;1283310;1350680;W3;Water;3.0;nan
7;20;1371290;1386260;R3_0;Rebus;6.0;0.2
7;21;1390920;1402960;R3_1;Rebus;6.0;0.2
7;22;1408610;1421270;R3_2;Rebus;6.0;0.2
7;23;1427030;1443010;R3_3;Rebus;6.0;0.2
7;24;1447110;1461270;R3_4;Rebus;6.0;0.2
7;25;1463010;1509340;R3;RebusEvaluation;6.0;0.2
7;26;1513150;1610680;W4;Water;3.0;nan
7;27;1634200;1655560;R4_0;Rebus;6.0;0.57
7;28;1660050;1676490;R4_1;Rebus;6.0;0.57
7;29;1680420;1703630;R4_2;Rebus;6.0;0.57
7;30;1708380;1728180;R4_3;Rebus;6.0;0.57
7;31;1732040;1745210;R4_4;Rebus;6.0;0.57
7;32;1749300;1766791;R4_5;Rebus;6.0;0.57
7;33;1769860;1788670;R4_6;Rebus;6.0;0.57
7;34;1789680;1832680;R4;RebusEvaluation;6.0;0.57
7;35;1834680;1904010;W5;Water;3.0;nan
7;36;1950120;2042300;STAI-Y2-1;STAI-Y2;nan;nan
7;37;2047300;2241240;Relax-1;Relax;nan;nan
7;38;2246240;2400080;NASA-TLX;NASA-TLX;nan;nan
7;39;2405080;2651430;Debriefing;Debriefing;nan;nan
8;0;0;202890;Instructions;Instructions;nan;nan
8;1;207890;328430;PSS14;PSS14;nan;nan
8;2;333430;536680;Relax-0;Relax;nan;nan
8;3;541680;631410;STAI-Y2-0;STAI-Y2;nan;nan
8;4;636410;733710;W0;Water;2.0;nan
8;5;740750;752090;R0_0;Rebus;3.0;1.0
8;6;756140;768810;R0_1;Rebus;3.0;1.0
8;7;770010;785010;R0;RebusEvaluation;3.0;1.0
8;8;789510;890350;W1;Water;2.0;nan
8;9;907990;919880;R1_0;Rebus;4.0;0.67
8;10;923160;934780;R1_1;Rebus;4.0;0.67
8;11;941630;951380;R1_2;Rebus;4.0;0.67
8;12;954350;967680;R1;RebusEvaluation;4.0;0.67
8;13;969800;1047160;W2;Water;1.0;nan
8;14;1054340;1063840;R2_0;Rebus;4.0;0.5
8;15;1068450;1076070;R2_1;Rebus;4.0;0.5
8;16;1079140;1091050;R2_2;Rebus;4.0;0.5
8;17;1095780;1105560;R2_3;Rebus;4.0;0.5
8;18;1107350;1129680;R2;RebusEvaluation;4.0;0.5
8;19;1131580;1199350;W3;Water;1.0;nan
8;20;1227790;1236930;R3_0;Rebus;5.0;0.4
8;21;1240910;1255620;R3_1;Rebus;5.0;0.4
8;22;1259520;1272020;R3_2;Rebus;5.0;0.4
8;23;1276030;1294740;R3_3;Rebus;5.0;0.4
8;24;1299280;1308930;R3_4;Rebus;5.0;0.4
8;25;1310680;1335350;R3;RebusEvaluation;5.0;0.4
8;26;1336620;1435350;W4;Water;2.0;nan
8;27;1450210;1467580;R4_0;Rebus;6.0;0.29
8;28;1471650;1489780;R4_1;Rebus;6.0;0.29
8;29;1495320;1513250;R4_2;Rebus;6.0;0.29
8;30;1516950;1530850;R4_3;Rebus;6.0;0.29
8;31;1535230;1550120;R4_4;Rebus;6.0;0.29
8;32;1553830;1570690;R4_5;Rebus;6.0;0.29
8;33;1573950;1589240;R4_6;Rebus;6.0;0.29
8;34;1589680;1627010;R4;RebusEvaluation;6.0;0.29
8;35;1629850;1696680;W5;Water;1.0;nan
8;36;1718090;1781420;STAI-Y2-1;STAI-Y2;nan;nan
8;37;1786420;1977870;Relax-1;Relax;nan;nan
8;38;1983130;2045530;NASA-TLX;NASA-TLX;nan;nan
8;39;2050460;2213680;Debriefing;Debriefing;nan;nan
9;0;0;108620;PSS14;PSS14;nan;nan
9;1;112620;323960;Instructions;Instructions;nan;nan
9;2;337620;543940;Relax-0;Relax;nan;nan
9;3;548940;649940;STAI-Y2-0;STAI-Y2;nan;nan
9;4;654940;757070;W0;Water;2.0;nan
9;5;762650;772760;R0_0;Rebus;4.0;1.0
9;6;776130;793710;R0_1;Rebus;4.0;1.0
9;7;796620;817620;R0;RebusEvaluation;4.0;1.0
9;8;821870;927960;W1;Water;2.0;nan
9;9;949980;960390;R1_0;Rebus;4.0;0.67
9;10;964370;975770;R1_1;Rebus;4.0;0.67
9;11;979080;991711;R1_2;Rebus;4.0;0.67
9;12;993290;1014960;R1;RebusEvaluation;4.0;0.67
9;13;1014660;1079290;W2;Water;2.0;nan
9;14;1093430;1103210;R2_0;Rebus;6.0;0.5
9;15;1106150;1114790;R2_1;Rebus;6.0;0.5
9;16;1118020;1132320;R2_2;Rebus;6.0;0.5
9;17;1135250;1145960;R2_3;Rebus;6.0;0.5
9;18;1146960;1173620;R2;RebusEvaluation;6.0;0.5
9;19;1174350;1239960;W3;Water;2.0;nan
9;20;1256750;1265930;R3_0;Rebus;8.0;0.4
9;21;1269460;1280590;R3_1;Rebus;8.0;0.4
9;22;1284160;1298840;R3_2;Rebus;8.0;0.4
9;23;1302940;1322850;R3_3;Rebus;8.0;0.4
9;24;1327420;1343000;R3_4;Rebus;8.0;0.4
9;25;1344290;1379620;R3;RebusEvaluation;8.0;0.4
9;26;1379410;1479290;W4;Water;1.0;nan
9;27;1489290;1501680;R4_0;Rebus;9.0;0.29
9;28;1504870;1524980;R4_1;Rebus;9.0;0.29
9;29;1528390;1547700;R4_2;Rebus;9.0;0.29
9;30;1552100;1569720;R4_3;Rebus;9.0;0.29
9;31;1572980;1589620;R4_4;Rebus;9.0;0.29
9;32;1592850;1615420;R4_5;Rebus;9.0;0.29
9;33;1619520;1634820;R4_6;Rebus;9.0;0.29
9;34;1635960;1666290;R4;RebusEvaluation;9.0;0.29
9;35;1667130;1735620;W5;Water;1.0;nan
9;36;1747870;1821400;STAI-Y2-1;STAI-Y2;nan;nan
9;37;1826400;2019160;Relax-1;Relax;nan;nan
9;38;2024160;2094090;NASA-TLX;NASA-TLX;nan;nan
9;39;2099090;2376960;Debriefing;Debriefing;nan;nan
10;0;0;240000;Instructions;Instructions;nan;nan
10;1;215880;245880;PSS14;PSS14;nan;nan
10;2;359550;539550;Relax-0;Relax;nan;nan
10;3;557640;587640;STAI-Y2-0;STAI-Y2;nan;nan
10;4;693110;783110;W0;Water;2.0;nan
10;5;801540;814990;R0_0;Rebus;4.0;1.0
10;6;818100;830720;R0_1;Rebus;4.0;1.0
10;7;833690;853060;R0;RebusEvaluation;4.0;1.0
10;8;861400;961730;W1;Water;4.0;nan
10;9;998361;1009250;R1_0;Rebus;5.0;0.67
10;10;1013010;1024460;R1_1;Rebus;5.0;0.67
10;11;1027640;1039900;R1_2;Rebus;5.0;0.67
10;12;1041060;1059730;R1;RebusEvaluation;5.0;0.67
10;13;1061480;1121480;W2;Water;2.0;nan
10;14;1139890;1149820;R2_0;Rebus;5.0;1.0
10;15;1152230;1158590;R2_1;Rebus;5.0;1.0
10;16;1161060;1171470;R2_2;Rebus;5.0;1.0
10;17;1174220;1184270;R2_3;Rebus;5.0;1.0
10;18;1184730;1202400;R2;RebusEvaluation;5.0;1.0
10;19;1203260;1271400;W3;Water;3.0;nan
10;20;1288760;1298240;R3_0;Rebus;6.0;0.0
10;21;1301860;1309330;R3_1;Rebus;6.0;0.0
10;22;1312620;1322230;R3_2;Rebus;6.0;0.0
10;23;1327060;1336650;R3_3;Rebus;6.0;0.0
10;24;1340880;1346940;R3_4;Rebus;6.0;0.0
10;25;1351730;1380060;R3;RebusEvaluation;6.0;0.0
10;26;1380670;1483400;W4;Water;4.0;nan
10;27;1510150;1519600;R4_0;Rebus;6.0;0.29
10;28;1523990;1537320;R4_1;Rebus;6.0;0.29
10;29;1540220;1559060;R4_2;Rebus;6.0;0.29
10;30;1562980;1574890;R4_3;Rebus;6.0;0.29
10;31;1578130;1590860;R4_4;Rebus;6.0;0.29
10;32;1594640;1608370;R4_5;Rebus;6.0;0.29
10;33;1610810;1624310;R4_6;Rebus;6.0;0.29
10;34;1627500;1652730;R4;RebusEvaluation;6.0;0.29
10;35;1652890;1719730;W5;Water;3.0;nan
10;36;1738200;1768200;STAI-Y2-1;STAI-Y2;nan;nan
10;37;1821150;2001150;Relax-1;Relax;nan;nan
10;38;2015290;2045290;NASA-TLX;NASA-TLX;nan;nan
10;39;2088920;2571730;Debriefing;Debriefing;nan;nan
11;0;0;217400;Instructions;Instructions;nan;nan
11;1;222400;444160;PSS14;PSS14;nan;nan
11;2;449160;658940;Relax-0;Relax;nan;nan
11;3;663940;773220;STAI-Y2-0;STAI-Y2;nan;nan
11;4;778220;878980;W0;Water;5.0;nan
11;5;882980;895980;R0_0;Rebus;2.0;1.0
11;6;899310;912640;R0_1;Rebus;2.0;1.0
11;7;914110;928640;R0;RebusEvaluation;2.0;1.0
11;8;960560;1083820;W1;Water;4.0;nan
11;9;1089330;1102930;R1_0;Rebus;7.0;0.33
11;10;1105450;1116420;R1_1;Rebus;7.0;0.33
11;11;1120410;1135300;R1_2;Rebus;7.0;0.33
11;12;1135800;1157640;R1;RebusEvaluation;7.0;0.33
11;13;1159480;1224310;W2;Water;4.0;nan
11;14;1257070;1266820;R2_0;Rebus;7.0;0.5
11;15;1269220;1277380;R2_1;Rebus;7.0;0.5
11;16;1279340;1292090;R2_2;Rebus;7.0;0.5
11;17;1295990;1304780;R2_3;Rebus;7.0;0.5
11;18;1306980;1336640;R2;RebusEvaluation;7.0;0.5
11;19;1338850;1407310;W3;Water;5.0;nan
