#pid;sid;start;end;text;phase;phase_name;subjective_load;rebus_score
7;0;742048;767488;NO A TAKŽE NA OBRÁZKU JE SKLENICE OBSAHUJÍCÍ NĚJAKÉ RŮŽE RŮŽOVÉ RŮŽE NA NO ASI DŘEVĚNÉM STOLE A OBRÁZKU JE NĚJAKÝ PARK A V POZADÍ JE VELKÁ VĚŽ ASI NĚJAKÁ NĚJAK NĚJAKÝ KOSTEL;W0;Water;3.0;nan
7;1;778288;783158;NO OBRÁZKU JE NĚJAKEJ JO NĚJAKÉ;W0;Water;3.0;nan
7;2;785568;794118;BUDOVY Z TOHO LEVÁ ČÁST JO VYPADÁ VELICE TAK ZASTARALÉ TAK TAK PĚKNĚ SPOUSTU SPOUSTU KNIHOU;W0;Water;3.0;nan
7;3;799138;805578;A BAREVNÉ KAPKY JAKO OLEJ JAK JE TAKOVÉ SKVRNY TVOŘÍ;W0;Water;3.0;nan
7;4;808778;812949;HM TO JE SNAD VŠECHNY BARVY KROMĚ ZELENÉ;W0;Water;3.0;nan
7;5;853138;862959;NAPAL NA PALOUKU SE PÁSLY JELEN KOLEM MĚJ SE PROTÁHL NOHY PROHNALO HEJNO BAŽANTŮ A KOROPTVÍ JÍLKU KAZIL JEN MYSLIVEC ČÍHAJÍCÍ NA POSEDU;R0_0;Rebus;2.0;1.0
7;6;867258;870709;PŘES MOST SE ŘÍTILO AUTO;R0_1;Rebus;2.0;1.0
7;7;874068;879468;ZA NÍM SE HNALI DVĚ POLICEJNÍ AUTA;R0_1;Rebus;2.0;1.0
7;8;881928;890949;A VE VZDUCHU NAD NÍM VISEL VRTULNÍK PNEUMATIKY HLASITĚ CHVÍLI;R0_1;Rebus;2.0;1.0
7;9;918828;927808;NA OBRÁZKU JSOU SPOUSTA KNIH OTEVŘENÝCH A KAŽDÁ VYPADÁ NA JINÉ STRANĚ OTEVŘENÁ A;W1;Water;4.0;nan
7;10;930978;934758;A MAJÍ RŮZNÉ BARVY VLASTNĚ TO POZADÍ TOHO TEXTU;W1;Water;4.0;nan
7;11;943968;955949;A OVES VLASTNĚ S LIDMI NA POZADÍ BAVÍCÍ SE ASI O NĚČEM CO NĚJAKEJ MALEJ DÍTĚ TUŠIT DO KONCE A PROSTĚ JO ASI JO HOLKY PADLÝ STROM STARÝ;W1;Water;4.0;nan
7;12;958708;970918;A LODĚ NA MOŘI VLASTNĚ NĚJAKÉ STARÉ ZASTANU STRANOU JO DĚJOU S AMERICKÝMI VLAJKAMI A VLASTNĚ NĚKOLIK VELKÝCH HODÍ JEDNA MALÁ KTEROU VYPADÁ SE POTÁPÍ SNAD DOKONCE;W1;Water;4.0;nan
7;13;978358;987648;V TAM PALMY NĚJAKÉ VRŠKY NOVÝCH STROMŮ A A KRÁSNÉ SVĚTLE MODRÉ POZADÍ VLASTNĚ OBLOHA;W1;Water;4.0;nan
7;14;997548;1008618;VLASTNĚ NĚJAKÁ KRAJINA PROSTĚ ZASE JSOU STROMY A A JE SPÍŠ TAK ZATAŽENO TROŠKU TROŠKU JAKO PROSVÍTÁ SLUNCE PŘES TY MRAKY ALE JÁ NENÍ MOC NENÍ AŽ TAK SE TAM NĚJAK PŘIJÍT;W1;Water;4.0;nan
7;15;1054488;1062318;OČÍ DO PAPÍRU A DOŠEL KE ZVONU NAUK OKOLO PAPÍRU A DOŠEL K NÁZORU ŽE PŘÍČINOU VŠEHO JE NEDOBRÁ VŮLE PÝCHA MALICHERNOST;R1_0;Rebus;4.0;0.67
7;16;1065958;1075918;ZIMA JE KRUTÁ A NEODPOUŠTÍ KDYŽ PADÁ SNÍH A VANOU BÍLÉ VĚTRY OSAMOCENÝ VLK ZEMŘE ALE SMEČKA PŘEŽIJE;R1_1;Rebus;4.0;0.67
7;17;1081388;1094598;HAUF VYKŘIKL VELIKÝ VELKÝM HLASEM A VYSTŘELIL VYSOKO DO VZDUCHU KLUKEM VAŠÍ TEN ZMIZEL LESKU OHNĚ ROMŮ JE JEHO ARMÁDA UVIDĚL A SIGNÁL A VRHLA SE DO;R1_2;Rebus;4.0;0.67
7;18;1121808;1137028;NO NA OBRÁZKU VIDÍME POLEDNE JAKÉ MĚSTO A SKRZ VLASTNĚ DÍRU V PLOTĚ SPOUSTU NĚJAKÝCH AUT NĚJAKÝ VELKÝ MOST A MRAKODRAPY JE KDY ASI NĚJAKÉ VELKÉ AMERICKÉ MĚSTO;W2;Water;3.0;nan
7;19;1141958;1159239;A JSEM NAMALOVANÝ OBRAZ A NĚJAKÉ PLOCHY NE TAM VIDĚT NĚJÁKEJ DĚLEN NE NE MOC STROMŮ A V PODSTATĚ JE TAKOVÉ CELÉ ZAMLŽENÉ ASI NO ASI KLIDNĚ MOHLA NEBO NĚJAKÝ NĚJAKÝ U MOŘE;W2;Water;3.0;nan
7;20;1161718;1178908;NO OBRÁZKU JE ŽENA POMALOVANÁ MŮŽU A NĚJAK ČERVENÉ TVÁŘE TAKOVÉ JASNĚ SES MĚ POZADÍ JE TAKY ČERVENÝ NĚJAKÝ PRACHY ASI ASI HÁZEL NĚKDO NĚJAKOU BARVOU NO JAKO KOŘENÍ;W2;Water;3.0;nan
7;21;1204558;1214098;CESTU MU ZASTOUPIL OBROVSKÝ DRAK KRÁL NEVÁHAL TASIL MEČ A PUSTIL SE S NESTVŮROU DO BOJE NA ŽIVOT A NA SMRT;R2_0;Rebus;5.0;0.5
7;22;1217848;1225648;MARKÉTA VYŠLA ZE DVEŘÍ JEŠTĚ JEDNOU SE OTOČILA OČÍ SI ZAJISTILA SLZA SAMA V A SVÝM SESTRÁM A VYRAZILA;R2_1;Rebus;5.0;0.5
7;23;1228778;1240338;OTEVŘEL NOVÝ DOKUMENT NA SVÉM NOTEBOOKU A NAHMATAL KLÁVESY VENKU PRŠELO BYLO CHLADNO PŘES OKNO VIDĚL SAMÝ DEŠTNÍK SAMI STUDENÝ OBLIČEJ;R2_2;Rebus;5.0;0.5
7;24;1246178;1253208;STĚ OSMDESÁT DOSTALA ŘADA VŽDY MĚLA POCIT ŽE KLÍČ K JEJÍMU SRDCI LEŽÍ JINDE NEŽ NA PULTECH OBCHODŮ;R2_3;Rebus;5.0;0.5
7;25;1289318;1306348;NO BRASCO VĚŘÍM VIDÍME ASI SNAD FOTKU NĚJAKÉ ŘEKY A VLASTNĚ STROMŮ S ORANŽOVÝMI LISTING KTERÝ VLASTNĚ SVÉ LISTY ASI PADAJÍ DO TÉ DO TÉ ŘEKY PROSTORU NĚJAKÁ HOLKA VKLÁDÁTE NĚJAKÝ STROM TADY NO;W3;Water;3.0;nan
7;26;1310098;1325828;NAMALOVANEJ OBRÁZEK NĚJAKÉ SI PEVNOSTI KOLIK NE NE MOC VELKÉ VENKU KULATÉ PLUS JAKO SE PŘED NÍ STOJÍ NĚJAKEJ NĚJAKÝ MUŽ SNAD VYPADÁ ŽE TA SE SNAD NĚCO;W3;Water;3.0;nan
7;27;1334938;1346528;VLASTNĚ SKÁLY BY VLASTNĚ NĚJAK ČLOVĚK ČLOVĚK SVÍTÍ NA ŇÁK NĚJAKÝM ZLOMYSLNÝM JAKO SE MNOU LAMPU A VŠUDE ZIMA;W3;Water;3.0;nan
